Advertiser,Advertiser Name,Region,Region Name,Imps,Clicks,"CTR, %",Conversions,User Purchase,Actual Adv Payout
345,NORTHERNLIGHTSHEALTH-KARSHHAGAN,US-ME,Maine,8633,57,0.66,25,0,134.895
358,VISITDENVER,US-NC,North Carolina,8633,18,0.21,37,0,45.025
351,PINNACLEBANK&BOC-KARSHHAGAN,US-NE,Nebraska,8635,10,0.12,38,0,112.929
256,SHEEX-MDG-TRADR,US-FL,Florida,8636,310,3.59,83,412.6,109.769
358,VISITDENVER,US-FL,Florida,8637,45,0.52,77,0,100.92
256,SHEEX-MDG-TRADR,US-FL,Florida,8640,216,2.5,92,385.52,101.461
382,FILSON,US-TX,Texas,8643,313,3.62,84,0,193.267
358,VISITDENVER,US-KS,Kansas,8644,32,0.37,39,0,44.959
256,SHEEX-MDG-TRADR,US-AZ,Arizona,8647,188,2.18,48,306.18,98.779
358,VISITDENVER,US-TX,Texas,8647,18,0.21,41,0,62.832
252,SMARTBIZ-MDG-TRADR,US-FL,Florida,8650,20,0.23,132,0,191.695
274,BOBOS,US-OH,Ohio,8650,117,1.35,109,368.44,61.085
358,VISITDENVER,US-ME,Maine,8651,11,0.13,28,0,46.246
358,VISITDENVER,US-PA,Pennsylvania,8654,33,0.38,39,0,46.961
174,POSITEC-WORX-TRADR,US-OR,Oregon,8656,105,1.22,176,376.37,87.591
364,SCOOTER-KARSHHAGAN,US-TX,Texas,8658,127,1.47,77,0,176.541
